Date,Open,High,Low,Close,Volume,Stock,Ticker,Sector,Year,Month,Month_Name,Quarter,Daily_return,Volatility_30D
2020-03-25,544.4457406348916,567.8719920950995,538.3701349756329,562.6918334960938,4097050,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,2.241118502039474,3.2605808066412685
2020-03-26,572.9366573144131,590.5280197536313,554.4594855971718,567.8046875,3194975,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,0.9086419420980985,3.254557485654446
2020-03-27,568.6230812191053,586.7536393017716,548.0757500859106,561.6327514648438,4007940,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,-1.0869822266404316,3.257670781303787
2020-03-30,554.5269257574132,587.3410104694891,541.316595501044,576.6051635742188,5752295,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,2.6658723285499564,3.204739194162876
2020-03-31,587.3409247771921,606.9831693752786,583.8842531488873,600.96533203125,5013780,Dr Reddys,DRREDDY.NS,Pharma,2020,3,March,1,4.224757250876698,3.3084759999544735
2020-04-01,600.8112235782797,605.4425487017834,590.4220506709448,596.006591796875,3555215,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,-0.8251291663721405,3.310794631495207
2020-04-03,594.0809495556099,619.8565713104675,582.5459768286526,605.9818115234375,5868365,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,1.6736760740327705,3.319360085895868
2020-04-07,625.8550534304595,696.2589279703092,618.152222003623,690.0196533203125,11837790,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,13.868046894939635,4.181140305826518
2020-04-08,678.8121162826656,725.0291114338257,668.4133041272441,709.23828125,12611475,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,2.7852290637243815,4.198562518658724
2020-04-09,720.214798988295,733.694755119092,691.9454193783018,697.40478515625,9804680,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,-1.6684796078539343,4.182622407122993
2020-04-13,711.3564755694316,742.5529665769676,694.6413453587296,721.4857177734375,11611945,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,3.4529348134300974,4.166843458140223
2020-04-15,736.5833181317176,749.7936469489435,727.1473605811357,733.2326049804688,8625555,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,1.628152424594509,4.164609286625522
2020-04-16,733.0014834401435,749.1003732793869,727.9175863743143,743.4484252929688,7329295,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,1.3932577797426404,4.1610109587913575
2020-04-17,764.5060057008396,769.8787469818205,736.3136149646211,756.7164916992188,9074610,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,1.7846653452822325,4.035738666049299
2020-04-20,755.5611228697844,755.830691408823,733.752458012547,740.3865356445312,7493955,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,-2.1580018717470173,4.065822269392417
2020-04-21,738.5090341571347,779.4880989429588,736.0152163846793,773.44140625,14239375,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,4.464542372680147,4.056954639414319
2020-04-22,768.3477783607905,788.4425346596531,762.8210063481499,781.2211303710938,8917130,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,1.005858240614943,4.01205261667778
2020-04-23,776.2528853627979,786.8442790736653,772.064435316371,775.5018310546875,5128285,Dr Reddys,DRREDDY.NS,Pharma,2020,4,April,2,-0.7320973657854668,4.022268776608054
